destination_group,destination_name,destination_key,total_hotels
Asia Pacific,Australia,ap-australia,57
Asia Pacific,Bhutan,ap-bhutan,2
Asia Pacific,Cambodia,ap-cambodia,8
Asia Pacific,China,ap-china,84
Asia Pacific,Fiji,ap-fiji,4
Asia Pacific,French Polynesia,ap-french-polynesia,7
Asia Pacific,Guam,ap-guam,1
Asia Pacific,Hong Kong SAR,ap-hong-kong,22
Asia Pacific,India,ap-india,46
Asia Pacific,Indonesia,ap-indonesia,41
Asia Pacific,Japan,ap-japan,79
Asia Pacific,Kazakhstan,ap-kazakhstan,1
Asia Pacific,Laos,ap-laos,2
Asia Pacific,Malaysia,ap-malaysia,9
Asia Pacific,Maldives,ap-maldives,26
Asia Pacific,Mongolia,ap-mongolia,1
Asia Pacific,New Zealand,ap-new-zealand,15
Asia Pacific,Philippines,ap-philippines,7
Asia Pacific,Singapore,ap-singapore,27
Asia Pacific,South Korea,ap-south-korea,16
Asia Pacific,Sri Lanka,ap-sri-lanka,5
Asia Pacific,Taiwan,ap-taiwan,9
Asia Pacific,Thailand,ap-thailand,71
Asia Pacific,Vietnam,ap-vietnam,16
Bermuda & Caribbean,Anguilla,bc-anguilla,6
Bermuda & Caribbean,Antigua,bc-antigua,4
Bermuda & Caribbean,Aruba,bc-aruba,3
Bermuda & Caribbean,Barbados,bc-barbados,2
Bermuda & Caribbean,Bermuda,bc-bermuda,5
Bermuda & Caribbean,British Virgin Islands,bc-british-virgin-islands,2
Bermuda & Caribbean,Cayman Islands,bc-cayman-islands,6
Bermuda & Caribbean,Curacao,bc-curacao,3
Bermuda & Caribbean,Dominica,bc-dominica,2
Bermuda & Caribbean,Dominican Republic,bc-dominican-republic,18
Bermuda & Caribbean,Grenada,bc-grenada,3
Bermuda & Caribbean,Honduras,bc-honduras,1
Bermuda & Caribbean,Jamaica,bc-jamaica,6
Bermuda & Caribbean,Puerto Rico,bc-puerto-rico,10
Bermuda & Caribbean,Saint Barthelemy,bc-saint-barthelemy,0
Bermuda & Caribbean,Saint Kitts and Nevis,bc-saint-kitts-and-nevis,4
Bermuda & Caribbean,Saint Lucia,bc-saint-lucia,0
Bermuda & Caribbean,Saint Martin,bc-saint-martin,1
Bermuda & Caribbean,Saint Vincent and The Grenadines,bc-saint-vincent-and-the-grenadines,0
Bermuda & Caribbean,The Bahamas,bc-the-bahamas,7
Bermuda & Caribbean,Turks and Caicos Islands,bc-turks-and-caicos-islands,0
Bermuda & Caribbean,U.S. Virgin Islands,bc-us-virgin-islands,3
Canada,Alberta,ca-alberta,5
Canada,British Columbia,ca-british-columbia,17
Canada,Newfoundland and Labrador,ca-newfoundland-and-labrador,1
Canada,Nova Scotia,ca-nova-scotia,1
Canada,Ontario,ca-ontario,21
Canada,Québec,ca-quebec,2
Central America,Belize,ca-belize,2
Central America,Costa Rica,ca-costa-rica,13
Central America,Guatemala,ca-guatemala,1
Central America,Nicaragua,ca-nicaragua,1
Central America,Panama,ca-panama,6
Europe,Austria,eu-austria,23
Europe,Azerbaijan,eu-azerbaijan,1
Europe,Belgium,eu-belgium,8
Europe,Bulgaria,eu-bulgaria,1
Europe,Croatia,eu-croatia,14
Europe,Cyprus,eu-cyprus,2
Europe,Czech Republic,eu-czech-republic,1
Europe,Denmark,eu-denmark,7
Europe,England,eu-england,116
Europe,Finland,eu-finland,5
Europe,France,eu-france,140
Europe,Germany,eu-germany,45
Europe,Greece,eu-greece,77
Europe,Hungary,eu-hungary,10
Europe,Iceland,eu-iceland,2
Europe,Ireland,eu-ireland,21
Europe,Italy,eu-italy,36
Europe,Liechtenstein,eu-liechtenstein,1
Europe,Malta,eu-malta,4
Europe,Monaco,eu-monaco,6
Europe,Montenegro,eu-montenegro,2
Europe,Netherlands,eu-netherlands,22
Europe,Norway,eu-norway,5
Europe,Poland,eu-poland,4
Europe,Portugal,eu-portugal,48
Europe,Romania,eu-romania,1
Europe,Scotland,eu-scotland,18
Europe,Serbia,eu-serbia,1
Europe,Slovenia,eu-slovenia,1
Europe,Spain,eu-spain,121
Europe,Sweden,eu-sweden,9
Europe,Switzerland,eu-switzerland,50
Europe,Türkiye,eu-turkey,27
Europe,Wales,eu-wales,1
Mexico,Baja California Sur,mx-baja-california-sur,26
Mexico,Guanajuato,mx-guanajuato,5
Mexico,Guerrero,mx-guerrero,4
Mexico,Jalisco,mx-jalisco,5
Mexico,Mexico,mx-mexico,117
Mexico,Mexico City,mx-mexico-city,15
Mexico,Nayarit,mx-nayarit,10
Mexico,Nuevo León,mx-nuevo-leon,1
Mexico,Puebla,mx-puebla,1
Mexico,Quintana Roo,mx-quintana-roo,46
Mexico,Yucatán,mx-yucatan,2
Middle East & Africa,Bahrain,me-bahrain,3
Middle East & Africa,Egypt,me-egypt,9
Middle East & Africa,Israel,me-israel,15
Middle East & Africa,Jordan,me-jordan,2
Middle East & Africa,Kenya,me-kenya,4
Middle East & Africa,Kuwait,me-kuwait,3
Middle East & Africa,Mauritius,me-mauritius,6
Middle East & Africa,Morocco,me-morocco,18
Middle East & Africa,Mozambique,me-mozambique,1
Middle East & Africa,Oman,me-oman,6
Middle East & Africa,Qatar,me-qatar,14
Middle East & Africa,Rwanda,me-rwanda,2
Middle East & Africa,Saudi Arabia,me-saudi-arabia,7
Middle East & Africa,Seychelles,me-seychelles,8
Middle East & Africa,South Africa,me-south-africa,13
Middle East & Africa,Tanzania,me-tanzania,5
Middle East & Africa,Tunisia,me-tunisia,1
Middle East & Africa,United Arab Emirates,me-united-arab-emirates,57
Middle East & Africa,Zambia,me-zambia,1
South America,Argentina,sa-argentina,11
